"condono","bbl"
47,2023601203
47,2023601204
47,2023601205
47,2023601206
47,2023601207
47,2023601208
47,2023601209
47,2023601210
47,2023601211
47,2023601212
47,2023601213
47,2023601214
47,2023601215
47,2023601216
47,2023601217
47,2023601218
47,2023601219
47,2023601220
47,2023601221
47,2023601222
47,2023601223
47,2023601224
47,2023601225
47,2023601226
47,2023601227
47,2023601228
47,2023601229
47,2023601230
47,2023601231
47,2023601232
47,2023601233
47,2023601234
47,2023601235
47,2023601236
47,2023601237
47,2023601238
47,2023601239
47,2023601240
47,2023601241
47,2023601242
47,2023601243
47,2023601244
47,2023601245
47,2023601246
47,2023601247
47,2023601248
47,2023601249
47,2023601250
47,2023601251
47,2023601252
47,2023601253
47,2023601254
47,2023601255
47,2023601256
47,2023601257
47,2023601258
47,2023601259
47,2023601260
47,2023601261
47,2023601262
47,2023601263
47,2023601264
47,2023601265
49,2026301001
49,2026301002
49,2026301003
49,2026301004
49,2026301005
49,2026301006
49,2026301007
49,2026301008
49,2026301009
49,2026301010
49,2026301011
49,2026301012
49,2026301013
49,2026301014
49,2026301015
49,2026301016
49,2026301017
49,2026301018
49,2026301019
49,2026301020
49,2026301021
49,2026301022
49,2026301023
49,2026301024
49,2026301025
49,2026301026
49,2026301027
49,2026301028
49,2026301029
49,2026301030
49,2026301031
49,2026301032
49,2026301033
49,2026301034
49,2026301035
49,2026301036
54,2026371001
54,2026371002
54,2026371003
54,2026371004
54,2026371005
54,2026371006
54,2026371007
54,2026371008
54,2026371009
54,2026371010
54,2026371011
54,2026371012
54,2026371013
54,2026371014
54,2026371015
54,2026371016
54,2026371017
54,2026371018
54,2026371019
54,2026371020
54,2026371021
54,2026371022
54,2026371023
54,2026371024
54,2026371025
54,2026371026
54,2026371027
54,2026371028
54,2026371029
54,2026371030
54,2026371031
54,2026371032
54,2026371033
54,2026371034
54,2026371035
54,2026371036
54,2026371037
54,2026371038
54,2026371039
54,2026371040
54,2026371041
54,2026371042
54,2026371043
54,2026371044
54,2026371045
54,2026371046
54,2026371047
54,2026371048
54,2026371049
54,2026371050
54,2026371051
54,2026371052
54,2026371053
54,2026371054
54,2026371055
54,2026371056
54,2026371057
54,2026371058
54,2026371059
54,2026371060
51,2026661001
51,2026661002
51,2026661003
51,2026661004
51,2026661005
51,2026661006
51,2026661007
51,2026661008
51,2026661009
51,2026661010
51,2026661011
51,2026661012
51,2026661013
51,2026661014
51,2026661015
51,2026661016
51,2026661017
51,2026661018
51,2026661019
51,2026661020
51,2026661021
51,2026661022
51,2026661023
51,2026661024
50,2026671001
50,2026671002
50,2026671003
50,2026671004
50,2026671005
50,2026671006
50,2026671007
50,2026671008
50,2026671009
50,2026671010
50,2026671011
50,2026671012
50,2026671013
50,2026671014
50,2026671015
50,2026671016
50,2026671017
50,2026671018
50,2026671019
50,2026671020
50,2026671021
50,2026671022
50,2026671023
50,2026671024
52,2026771001
52,2026771002
52,2026771003
52,2026771004
52,2026771005
52,2026771006
52,2026771007
52,2026771008
52,2026771009
52,2026771010
52,2026771011
52,2026771012
52,2026771013
52,2026771014
52,2026771015
52,2026771016
52,2026771017
52,2026771018
52,2026771019
52,2026771020
52,2026771021
52,2026771022
52,2026771023
52,2026771024
52,2026771025
52,2026771026
52,2026771027
52,2026771028
52,2026771029
52,2026771030
52,2026771031
52,2026771032
52,2026771033
52,2026771034
52,2026771035
52,2026771036
52,2026771037
52,2026771038
52,2026771039
52,2026771040
52,2026771041
52,2026771042
52,2026771043
52,2026771044
52,2026771045
52,2026771046
52,2026771047
52,2026771048
52,2026771049
52,2026771050
52,2026771051
52,2026771052
52,2026771053
52,2026771054
52,2026771055
52,2026771056
52,2026771057
52,2026771058
52,2026771059
52,2026771060
52,2026771061
52,2026771062
52,2026771063
52,2026771064
52,2026771065
52,2026771066
52,2026771067
52,2026771068
52,2026771069
52,2026771070
52,2026771071
52,2026771072
52,2026771073
52,2026771074
52,2026771075
52,2026771076
52,2026771077
52,2026771078
52,2026771079
52,2026771080
52,2026771081
52,2026771082
52,2026771083
52,2026771084
52,2026771085
52,2026771086
52,2026771087
52,2026771088
52,2026771089
52,2026771090
52,2026771091
52,2026771092
52,2026771093
52,2026771094
52,2026771095
52,2026771096
52,2026771097
52,2026771098
52,2026771099
52,2026771100
52,2026771101
52,2026771102
52,2026771103
52,2026771104
52,2026771105
52,2026771106
52,2026771107
52,2026771108
52,2026771109
52,2026771110
52,2026771111
52,2026771112
52,2026771113
52,2026771114
52,2026771115
52,2026771116
52,2026771117
52,2026771118
52,2026771119
52,2026771120
52,2026771121
52,2026771122
52,2026771123
52,2026771124
52,2026771125
52,2026771126
52,2026771127
52,2026771128
52,2026771129
52,2026771130
52,2026771131
52,2026771132
52,2026771133
52,2026771134
52,2026771135
52,2026771136
52,2026771137
52,2026771138
52,2026771139
52,2026771140
52,2026771141
52,2026771142
52,2026771143
52,2026771144
118,2026931001
118,2026931002
118,2026931003
118,2026931004
118,2026931005
118,2026931006
118,2026931007
118,2026931008
118,2026931009
118,2026931010
118,2026931011
118,2026931012
118,2026931013
118,2026931014
118,2026931015
118,2026931016
118,2026931017
118,2026931018
61,2028071001
61,2028071002
86,2029341002
87,2029801002
171,2032581001
171,2032581002
171,2032581003
44,2033431001
44,2033431002
44,2033431003
44,2033431004
44,2033431005
44,2033431006
44,2033431007
44,2033431008
44,2033431009
123,2033551001
123,2033551002
123,2033551003
123,2033551004
123,2033551005
123,2033551006
123,2033551007
123,2033551008
123,2033551009
123,2033551010
123,2033551011
123,2033551012
123,2033551013
123,2033551014
123,2033551015
33,2034321045
33,2034321046
33,2034321071
33,2034321072
33,2034321089
33,2034321090
33,2034321101
33,2034321102
33,2034321113
33,2034321114
33,2034321129
33,2034321130
33,2034321131
33,2034321132
33,2034321133
33,2034321134
33,2034321135
33,2034321136
33,2034321137
33,2034321138
33,2034321139
33,2034321140
33,2034321141
33,2034321142
33,2034321143
33,2034321144
33,2034321145
33,2034321146
33,2034321147
33,2034321148
33,2034321149
33,2034321150
33,2034321151
33,2034321152
33,2034321153
33,2034321154
33,2034321155
33,2034321156
33,2034321157
33,2034321158
33,2034321159
33,2034321160
33,2034321161
33,2034321162
33,2034321163
33,2034321164
33,2034321165
33,2034321166
33,2034321167
33,2034321168
33,2034321169
33,2034321170
33,2034321171
33,2034321172
33,2034321173
33,2034321174
33,2034321175
33,2034321176
33,2034321177
33,2034321178
33,2034321179
33,2034321180
33,2034321181
33,2034321182
33,2034321183
33,2034321184
33,2034321185
33,2034321186
33,2034321187
33,2034321188
33,2034321189
33,2034321190
33,2034321191
33,2034321192
33,2034321193
33,2034321194
33,2034321195
33,2034321196
33,2034321197
33,2034321198
33,2034321199
33,2034321200
33,2034321201
33,2034321202
33,2034321212
33,2034321213
33,2034321214
33,2034321215
33,2034321216
33,2034321227
33,2034321228
33,2034321239
33,2034321240
33,2034321259
33,2034321260
33,2034321261
33,2034321262
33,2034321263
33,2034321264
33,2034321265
80,2034321301
80,2034321302
80,2034321303
80,2034321304
80,2034321305
80,2034321306
80,2034321307
80,2034321308
80,2034321309
80,2034321310
80,2034321311
80,2034321312
80,2034321313
80,2034321314
80,2034321315
80,2034321316
80,2034321317
80,2034321318
80,2034321319
80,2034321320
80,2034321321
80,2034321322
80,2034321323
80,2034321324
80,2034321325
80,2034321326
80,2034321327
80,2034321328
80,2034321329
80,2034321330
80,2034321331
80,2034321332
80,2034321333
80,2034321334
80,2034321335
